Title,Author,Additional Authors,My Rating,Average Rating,Number of Pages,Date Read,Year Published,Original Publication Year
Slaughterhouse-Five,Kurt Vonnegut Jr.,,5,4.08,215,2021/07/31,1991,1969
The Curious Incident of the Dog in the Night-Time,Mark Haddon,,3,3.89,226,2018/07/01,2004,2003
Catch-22,Joseph Heller,,3,3.98,453,2021/07/10,2004,1961
The Metamorphosis,Franz Kafka,"Stanley Corngold, Mircea Ivănescu",3,3.83,201,2021/07/08,1972,1915
"Little Women (Little Women, #1, part 1)",Louisa May Alcott,Louise Rennison,5,4.02,390,2020/05/12,2015,1868
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,W.W. Denslow,3,3.97,154,2021/02/03,1995,1900
Me Talk Pretty One Day,David Sedaris,,1,3.99,272,2021/02/28,2001,2000
Frankenstein,Mary Wollstonecraft Shelley,Paul Cantor,4,3.83,269,2021/01/28,2012,1818
Brave New World,Aldous Huxley,,5,3.99,288,2020/12/31,2006,1932
Gone Girl,Gillian Flynn,,4,4.09,560,2020/11/27,2014,2012
The Time Machine,H.G. Wells,,4,3.9,106,2020/12/03,2012,1895
Pride and Prejudice,Jane Austen,,3,4.27,396,2020/11/22,2012,1813
Kafka on the Shore,Haruki Murakami,Philip Gabriel,3,4.13,505,2020/09/22,2012,2002
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,,5,4.08,256,2020/05/07,2009,2009
Animal Farm,George Orwell,"Russell Baker, C.M. Woodhouse",5,3.96,141,2013/05/04,1996,1945
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,,5,4.13,229,2020/04/25,2004,1997
The Pearl,John Steinbeck,,3,3.49,153,2020/04/25,2016,1947
The Plague,Albert Camus,Stuart Gilbert,5,4.01,308,2020/04/13,1991,1947
The Glass Castle,Jeannette Walls,,4,4.28,288,2020/03/28,2006,2005
The Self-Taught Programmer: The Definitive Guide to Programming Professionally,Cory Althoff,,0,3.98,299,2020/07/01,2020,2017
Tuesdays with Morrie,Mitch Albom,,4,4.12,210,2019/03/06,2000,1997
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,,4,4.12,314,2018/01/24,1998,1985
Perfume: The Story of a Murderer,Patrick Süskind,John E. Woods,3,4.02,263,2017/09/01,2010,1985
The Stranger,Albert Camus,Matthew Ward,5,3.99,123,2017/07/23,1989,1942
The End of Diabetes: The Eat to Live Plan to Prevent and Reverse Diabetes,Joel Fuhrman,,4,4.07,336,2017/07/17,2012,2012
Dress Your Family in Corduroy and Denim,David Sedaris,,3,4.08,257,2017/07/17,2004,2004
Lolita,Vladimir Nabokov,,4,3.88,361,2016/05/12,2011,1955
"Generative Design: Visualize, Program, and Create with Processing",Hartmut Bohnacker,Benedikt Groß,5,4.54,472,2016/07/01,2012,2009
Of Mice and Men,John Steinbeck,,4,3.88,121,2017/01/09,2006,1937
Dr Jekyll and Mr Hyde,Robert Louis Stevenson,,5,3.83,111,2016/12/24,2012,1886
"How to Train Your Dragon (How to Train Your Dragon, #1)",Cressida Cowell,,4,3.89,214,2012/08/19,2004,2003
"The Host (The Host, #1)",Stephenie Meyer,,4,3.84,617,2012/01/13,2008,2008
The Alchemist,Paulo Coelho,Alan R. Clarke,4,3.89,197,2014/01/19,1993,1988
The 6th Target (Women's Murder Club #6),James Patterson,Maxine Paetro,3,4.04,416,2010/02/25,2008,2007
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,,4,4.05,398,2012/03/15,2010,2010
Sunken History,Robert Silverberg,,2,3.6,132,2016/12/13,1964,1963
Let's Explore Diabetes with Owls,David Sedaris,,3,3.82,275,2016/12/13,2013,2013
Down and Out in Paris and London,George Orwell,,4,4.06,213,2016/11/28,1972,1933
Rewiring Our Morality (TED Books),Daniel Reisel,,0,4.24,59,2014/11/01,2014,2014
The Boy in the Striped Pyjamas,John Boyne,,5,4.15,215,2016/11/16,2014,2006
Fahrenheit 451,Ray Bradbury,,4,3.99,190,2016/11/12,2003,1953
Eleanor & Park,Rainbow Rowell,,2,4.01,328,2016/11/09,2013,2012
The Wind-Up Bird Chronicle,Haruki Murakami,Jay Rubin,3,4.15,607,2015/12/29,1997,1994
"Wonder (Wonder, #1)",R.J. Palacio,,5,4.41,315,2014/01/28,2014,2012
The Catcher in the Rye,J.D. Salinger,,4,3.81,277,2016/05/21,2001,1951
Mother Night,Kurt Vonnegut Jr.,,4,4.19,282,2016/05/15,1999,1961
The Old Man and the Sea,Ernest Hemingway,,5,3.79,96,2016/02/17,1996,1952
How I Learned to Drive,Paula Vogel,,4,3.9,64,2016/02/15,1998,1997
The Book Thief,Markus Zusak,,4,4.38,550,2016/02/15,2007,2005
The Diary of a Young Girl,Anne Frank,"Eleanor Roosevelt, Barbara Mooyaart-Doubleday",5,4.16,283,2016/01/08,1993,1947
Lord of the Flies,William Golding,,3,3.69,285,2015/12/23,2005,1954
Diary,Chuck Palahniuk,,3,3.62,272,2015/12/03,2004,2003
Stories I Only Tell My Friends,Rob Lowe,,3,3.8,320,2015/11/20,2011,2011
A Charlie Brown Christmas,Charles M. Schulz,,3,4.49,32,2015/11/17,2012,1965
The Secret Life of Walter Mitty,James Thurber,Ben Stiller,5,3.67,1,2014/04/30,2013,1939
Do/ Story/: How to Tell Your Story So the World Listens,Bobette Buster,,4,3.77,112,2015/02/01,2013,2013
Extremely Loud & Incredibly Close,Jonathan Safran Foer,,3,3.97,326,2012/10/19,2005,2005
The Witch of Portobello,Paulo Coelho,,3,3.54,288,2015/11/10,2008,2006
To Kill a Mockingbird,Harper Lee,,5,4.28,376,2015/11/02,2010,1960
Cheaters: A comedy in two acts,Michael Jacobs,,4,3.5,73,2015/11/03,1982,1982
Paper Towns,John Green,,3,3.77,305,2015/10/26,2009,2008
The Last Lecture,Randy Pausch,Jeffrey Zaslow,5,4.24,206,2015/10/20,2008,2008
The Secret Garden,Frances Hodgson Burnett,,4,4.13,224,2015/10/10,1998,1910
A Streetcar Named Desire,Tennessee Williams,Arthur Miller,4,3.98,192,2015/04/22,2004,1947
Life of Pi,Yann Martel,,3,3.92,334,2015/09/29,2012,2001
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney,,3,3.98,226,2011/06/30,2007,2007
"The Secret (The Secret, #1)",Rhonda Byrne,,3,3.7,199,2010/01/24,2006,2006
1984,George Orwell,"Erich Fromm, Regina Silveira, Amazing Améziane, Marcelo Pen, Golo Mann, Harald Sachse, Irving Howe, Raymond Williams, Thomas Pynchon, Homi K. Bhabha, Martha C. Nussbaum, Bernard Crick, George Packer",4,4.19,328,2014/03/22,1950,1949
A Million Little Pieces,James Frey,,5,3.66,515,2015/09/12,2005,2003
"Damned (Damned, #1)",Chuck Palahniuk,,4,3.38,256,2015/07/14,2011,2011
The Secret Life of Bees,Sue Monk Kidd,,3,4.06,375,2015/04/22,2008,2001
One More Thing: Stories and Other Stories,B.J. Novak,,1,3.67,288,2015/04/22,2014,2014
Six Degrees of Separation,John Guare,,5,4,72,2014/10/10,1995,1990
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,,5,4.44,837,2013/10/19,2011,1996
"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)",Carolyn Keene,,2,3.98,180,2010/04/28,1999,1930
Songs Of The Humpback Whale,Jodi Picoult,,1,3.21,452,2014/01/05,2007,1992
Invisible Monsters,Chuck Palahniuk,,5,3.98,297,2013/12/31,2000,1999
The Hidden Staircase (Nancy Drew Mystery Stories #2),Carolyn Keene,Mildred Benson,1,3.94,182,2013/12/30,1996,1930
Struck by Lightning: The Carson Phillips Journal,Chris Colfer,,5,3.83,272,2013/11/02,2012,2012
The Perks of Being a Wallflower,Stephen Chbosky,,5,4.21,232,2013/10/10,2009,1999
Bossypants,Tina Fey,,3,3.95,283,2011/06/17,2011,2011
Sail,James Patterson,Howard Roughan,3,3.81,388,2010/01/01,2008,2008
Family Planning,Karan Mahajan,,1,3.06,288,2010/02/20,2008,2008
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,,2,3.8,232,2011/01/01,2009,2009
"My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""",Dave Pelzer,,3,4.15,437,2011/01/01,2002,1995
Who's That Girl?,Alexandra Potter,,4,3.66,370,2011/06/29,2009,2008
Promise Not to Tell,Jennifer McMahon,"Kathleen McInerney, Karen White, Caitlin Davies",3,3.64,250,2012/02/02,2007,2007
"The Last Straw (Diary of a Wimpy Kid, #3)",Jeff Kinney,,3,4.14,218,2012/04/24,2009,2009
"The White Queen (The Cousins' War, #1)",Philippa Gregory,,4,3.94,438,2012/09/06,2010,2009
The Secret Life Of A Slummy Mummy,Fiona Neill,,2,3.28,432,2012/10/28,2008,2007
"How to Be a Pirate (How to train your dragon, #2)",Cressida Cowell,,2,4.09,225,2012/11/02,2010,2004
Catch Me If You Can,Frank W. Abagnale,Stan Redding,5,4.02,277,2012/12/31,2000,1980
The Fault in Our Stars,John Green,,3,4.18,313,2013/03/26,2012,2012
Fight Club,Chuck Palahniuk,,5,4.18,218,2013/04/13,1997,1996
"The Maze Runner (The Maze Runner, #1)",James Dashner,,4,4.03,384,2013/05/03,2009,2009
The Great Gatsby,F. Scott Fitzgerald,,3,3.93,200,2013/08/13,2004,1925
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,,5,4.32,374,2012/01/01,2008,2008
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,,5,4.3,391,2012/02/19,2009,2009
Les Misérables,Victor Hugo,"Lee Fahnestock, Γεωργία Δεληγιάννη-Αναστασιάδη, Norman MacAfee",4,4.18,1463,2010/01/14,1987,1862
